Gen	Fitness	BiSection Cost
530	311	126
531	311	126
532	311	126
533	311	126
534	311	126
535	311	126
536	311	126
537	311	126
538	311	126
539	311	126
540	311	126
541	311	126
542	311	126
543	311	126
544	311	126
545	311	126
546	311	126
547	311	126
548	311	126
549	311	126
550	311	126
551	311	126
552	311	126
553	311	126
554	311	126
555	311	126
556	311	126
557	311	126
558	311	126
559	311	126
560	311	126
561	311	126
562	311	126
563	311	126
564	311	126
565	311	126
566	311	126
567	311	126
568	311	126
569	311	126
570	311	126
571	311	126
572	311	126
573	311	126
574	311	126
575	311	126
576	311	126
577	311	126
578	311	126
579	311	126
580	311	126
581	311	126
582	311	126
583	311	126
584	311	126
585	311	126
586	311	126
587	311	126
588	311	126
589	311	126
590	311	126
591	311	126
592	311	126
593	311	126
594	311	126
595	311	126
596	311	126
597	311	126
598	311	126
599	311	126
600	311	126
601	311	126
602	311	126
603	311	126
604	311	126
605	311	126
606	311	126
607	311	126
608	311	126
609	311	126
610	311	126
611	311	126
612	311	126
613	311	126
614	311	126
615	311	126
616	311	126
617	311	126
618	311	126
619	311	126
620	311	126
621	311	126
622	311	126
623	311	126
624	311	126
625	311	126
626	311	126
627	311	126
628	311	126
629	311	126
630	311	126
631	311	126
632	311	126
633	311	126
634	311	126
635	311	126
636	311	126
637	311	126
638	311	126
639	311	126
640	311	126
641	311	126
642	311	126
643	311	126
644	311	126
645	311	126
646	311	126
647	311	126
648	311	126
649	311	126
650	311	126
651	311	126
652	311	126
653	311	126
654	311	126
655	311	126
656	311	126
657	311	126
658	311	126
659	311	126
660	311	126
661	311	126
662	311	126
663	311	126
664	311	126
665	311	126
666	311	126
667	311	126
668	311	126
669	311	126
670	311	126
671	311	126
672	311	126
673	311	126
674	311	126
675	311	126
676	311	126
677	311	126
678	311	126
679	311	126
680	311	126
681	311	126
682	311	126
683	311	126
684	311	126
685	311	126
686	311	126
687	311	126
688	311	126
689	311	126
690	311	126
691	311	126
692	311	126
693	311	126
694	311	126
695	311	126
696	311	126
697	311	126
698	311	126
699	311	126
700	311	126
701	311	126
702	311	126
703	311	126
704	311	126
705	311	126
706	311	126
707	311	126
708	311	126
709	311	126
710	311	126
711	311	126
712	311	126
713	311	126
714	311	126
715	311	126
716	311	126
